Length,Time
128,0.005924383799235026
256,0.0025998751322428384
512,0.002825578053792318
1024,0.003007094065348307
2048,0.0033457279205322266
4096,0.0036048094431559243
8192,0.0038410027821858725
16384,0.0038977464040120444
32768,0.004213809967041016
65536,0.004686276117960612
